Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;3911782499
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;3034515250
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;2599069442
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;162588400,7
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;29620299,27
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;138699166,5
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;104537941,8
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;83292452,65
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;13525593,03
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;8997239,84
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;4528353,19
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;52234,52
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;576
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;45391550,95
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;712408199,6
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;131725426,6
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;36012228,31
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;263677036,6
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;280993508,2
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;22596642,14
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1268008111
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-11>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;740925436,1
